,x,y,z
rec.autos,0.034865003,-0.27652603,0.0375548
comp.graphics,0.0007727064,-0.005289293,0.000805905
sci.med,0.030579124,-0.24242489,0.0329359
comp.graphics,0.012914175,-0.10184761,0.013894037
rec.autos,-0.10228548,0.8149221,-0.1102938
comp.graphics,-0.10230063,0.81504935,-0.11030809
rec.sport.baseball,0.027864663,-0.22083677,0.030012138
rec.autos,0.027488783,-0.21795113,0.029604588
sci.med,0.025775192,-0.20420292,0.027758429
talk.politics.mideast,-0.043713484,0.34878495,-0.047151625
rec.sport.baseball,0.01175624,-0.09264086,0.012644543
rec.sport.baseball,0.01768831,-0.13982026,0.019034864
rec.sport.baseball,0.015339462,-0.12115769,0.01650669
sci.med,0.002248012,-0.016979527,0.0024008425
talk.politics.mideast,0.0030471883,-0.023307059,0.0032530676
rec.autos,0.022423556,-0.17754522,0.024146568
rec.autos,0.030053914,-0.23824695,0.0323698
talk.politics.mideast,0.0016340909,-0.012072713,0.0017309133
rec.autos,-0.009947073,0.080061786,-0.010750706
rec.autos,-0.005127534,0.041724548,-0.005558582
rec.autos,0.026851105,-0.21276894,0.028915875
comp.graphics,-0.00019664268,0.0024719413,-0.00023850187
rec.autos,0.018094536,-0.14309146,0.019479418
comp.graphics,-0.0026879956,0.022324704,-0.0029273788
talk.politics.mideast,0.00015294609,-0.0002861356,0.00013547065
comp.graphics,0.028000668,-0.22194023,0.030158814
talk.politics.mideast,0.011188638,-0.08813928,0.012034963
comp.graphics,0.039869092,-0.3163783,0.042952295
rec.sport.baseball,-0.019643245,0.15722509,-0.021203786
sci.med,-0.012994072,0.104328625,-0.01403527
comp.graphics,0.01568465,-0.12393936,0.016882058
rec.sport.baseball,0.035189953,-0.27910107,0.03790442
sci.med,0.017249735,-0.13639578,0.01857076
talk.politics.mideast,0.002552993,-0.019396236,0.0027227313
rec.sport.baseball,-0.027002707,0.21580204,-0.02913576
comp.graphics,0.040734492,-0.3232458,0.043885008
sci.med,-0.0045048883,0.036750033,-0.0048874984
rec.sport.baseball,-0.09287512,0.7400297,-0.10014611
sci.med,0.011326981,-0.08923109,0.012180273
comp.graphics,0.036875684,-0.2925514,0.0397245
talk.politics.mideast,-0.010462808,0.08418175,-0.011308
rec.autos,-0.032649577,0.26075342,-0.035225313
comp.graphics,-0.022502532,0.17999311,-0.024286356
talk.politics.mideast,-0.022692889,0.18145588,-0.024486179
rec.sport.baseball,0.011841387,-0.09333526,0.01273737
rec.sport.baseball,0.043583687,-0.34591103,0.046957444
comp.graphics,-0.01416875,0.11367424,-0.015300854
sci.med,-0.03457859,0.27608156,-0.03730456
rec.sport.baseball,-0.017363934,0.1391035,-0.018745374
sci.med,0.017618395,-0.1392889,0.018966097
sci.med,-0.06368876,0.50775594,-0.06868558
rec.sport.baseball,0.0073428475,-0.057566807,0.00789491
comp.graphics,0.005607172,-0.043732848,0.0060168384
sci.med,0.024159316,-0.1913371,0.026014294
comp.graphics,-0.06359357,0.5069929,-0.0685838
rec.autos,0.022623954,-0.17913853,0.024362816
talk.politics.mideast,0.0018221126,-0.0135640595,0.0019358764
rec.autos,0.018516822,-0.14642204,0.01993174
sci.med,0.008349253,-0.06553989,0.008975787
rec.autos,0.033428762,-0.26514348,0.036011133
sci.med,-0.015640724,0.1253692,-0.016887106
talk.politics.mideast,0.0075716875,-0.05934678,0.0081347
comp.graphics,-0.05456411,0.43513796,-0.058847543
talk.politics.mideast,0.035963558,-0.2852911,0.038745143
talk.politics.mideast,0.038827177,-0.30807504,0.041831035
rec.sport.baseball,0.03557587,-0.28219262,0.03832368
talk.politics.mideast,-0.010787038,0.0867668,-0.011658165
sci.med,0.012556471,-0.098981306,0.013505561
rec.sport.baseball,-0.024570577,0.1964504,-0.026514696
rec.sport.baseball,0.02534128,-0.2007604,0.027291192
sci.med,-0.0014484241,0.012423629,-0.0015877838
sci.med,0.016023837,-0.1266133,0.017247569
rec.sport.baseball,0.0063925306,-0.049946096,0.006863385
rec.sport.baseball,-0.030810382,0.24611685,-0.033243824
rec.autos,-0.02199902,0.17599161,-0.02374519
rec.sport.baseball,-0.06716967,0.5354623,-0.07243662
rec.sport.baseball,0.043617215,-0.34617403,0.046993207
talk.politics.mideast,-0.07789546,0.62082994,-0.084002584
sci.med,0.0150152575,-0.11856975,0.016153822
rec.autos,0.018615844,-0.14730117,0.020043084
comp.graphics,0.019823544,-0.15684141,0.021342622
rec.sport.baseball,0.031191375,-0.24731338,0.033597913
comp.graphics,0.0268257,-0.21257581,0.02889397
talk.politics.mideast,-0.045059595,0.35944927,-0.048611265
rec.sport.baseball,-0.008180553,0.06600491,-0.00884766
talk.politics.mideast,-0.0111668855,0.089773364,-0.012067482
talk.politics.mideast,0.035485383,-0.2814847,0.03822669
rec.sport.baseball,-0.004003389,0.032765888,-0.0043427274
sci.med,0.035484187,-0.2814734,0.038227372
comp.graphics,-0.0006424956,0.0060116188,-0.00071980024
sci.med,0.015197363,-0.120048225,0.016356224
sci.med,0.013080231,-0.10317738,0.014072532
talk.politics.mideast,0.020967083,-0.16595855,0.022577206
rec.sport.baseball,0.00043595736,-0.0025625275,0.0004452727
rec.sport.baseball,0.029063232,-0.23038197,0.031304624
rec.sport.baseball,0.01594352,-0.12593512,0.017159624
comp.graphics,0.034320965,-0.27224004,0.03697385
sci.med,0.027692324,-0.21944527,0.029824326
rec.sport.baseball,0.009608639,-0.07556496,0.010330613
talk.politics.mideast,0.0036295927,-0.027932193,0.003883105
sci.med,0.017843982,-0.14109185,0.019208308
rec.sport.baseball,0.031251382,-0.24778515,0.033661216
comp.graphics,-0.009197861,0.07412299,-0.009943455
talk.politics.mideast,-0.0006081549,0.005756907,-0.0006837407
comp.graphics,0.038694106,-0.30703825,0.041684803
sci.med,-0.06604905,0.5265393,-0.07123009
talk.politics.mideast,-0.022264266,0.17812927,-0.024031537
sci.med,0.018068464,-0.14287166,0.019450584
rec.autos,0.022867918,-0.181063,0.024625363
comp.graphics,0.03734054,-0.29624978,0.040225286
rec.autos,-0.030015824,0.23981306,-0.03238584
sci.med,0.032215178,-0.255486,0.034703534
sci.med,-0.06518053,0.5196409,-0.07029535
rec.autos,-0.06360463,0.5071052,-0.06859702
rec.sport.baseball,-0.0054026996,0.04390436,-0.0058507808
talk.politics.mideast,-0.0577123,0.4601991,-0.062241804
sci.med,0.016484678,-0.130291,0.017744051
rec.autos,0.043596163,-0.3460339,0.046970885
rec.autos,0.0051523563,-0.04009179,0.005527665
comp.graphics,0.040574387,-0.32199275,0.043712456
talk.politics.mideast,-0.0141541455,0.11352466,-0.015283384
talk.politics.mideast,0.003921299,-0.030299475,0.004199128
rec.sport.baseball,0.0154227,-0.12182395,0.016597832
sci.med,-0.103139,0.8217077,-0.11121376
rec.sport.baseball,-0.0178152,0.14266944,-0.01922875
rec.autos,0.03878924,-0.3077725,0.041787922
sci.med,0.031532343,-0.25002596,0.03396463
talk.politics.mideast,0.0098936865,-0.077821694,0.010638196
sci.med,-0.008910892,0.07182773,-0.0096371295
comp.graphics,0.025188074,-0.19955704,0.02712503
talk.politics.mideast,-0.04474146,0.3569756,-0.048259903
talk.politics.mideast,-0.008495843,0.068441235,-0.009176423
rec.sport.baseball,0.0035615566,-0.027418071,0.0038112279
comp.graphics,0.008315964,-0.06528351,0.008937682
sci.med,0.014540701,-0.11481488,0.015643703
rec.autos,0.018816713,-0.14881302,0.020253899
comp.graphics,0.04180709,-0.33180517,0.045040656
rec.autos,0.008185107,-0.064218804,0.008795198
talk.politics.mideast,0.0039573363,-0.030573452,0.0042387377
rec.sport.baseball,-0.104351655,0.83135796,-0.112516806
rec.sport.baseball,0.025048763,-0.1983639,0.026972812
rec.sport.baseball,0.034050748,-0.27010044,0.03667754
rec.autos,0.029557008,-0.23429911,0.031836286
comp.graphics,0.0028941082,-0.022095425,0.0030902552
talk.politics.mideast,-0.004433841,0.036210857,-0.004806304
talk.politics.mideast,0.004836694,-0.037557665,0.005183944
rec.autos,0.0063255187,-0.049432278,0.006792467
comp.graphics,-0.009253405,0.074538,-0.010000848
comp.graphics,-0.02681974,0.21431161,-0.028923804
talk.politics.mideast,-0.10813006,0.8614058,-0.116593316
comp.graphics,-0.032068867,0.25611567,-0.034598615
rec.sport.baseball,0.012317834,-0.09711398,0.013251005
rec.autos,0.030688863,-0.24329771,0.03305468
rec.autos,0.036236525,-0.28748563,0.039040253
rec.autos,-0.022743288,0.18190697,-0.024547253
rec.autos,-0.042141248,0.3363016,-0.045461327
sci.med,0.021032486,-0.16646051,0.022644332
rec.autos,-0.005097211,0.041487437,-0.0055187712
sci.med,0.03008777,-0.23855063,0.032411497
rec.autos,0.013849283,-0.10930929,0.014898912
rec.sport.baseball,0.0401722,-0.31878078,0.043279875
sci.med,0.025729628,-0.20385219,0.02770775
rec.autos,0.03850822,-0.30553484,0.041485924
sci.med,-0.0082942955,0.066910416,-0.008967298
comp.graphics,-0.02934772,0.23446195,-0.031660683
comp.graphics,0.03899018,-0.30936262,0.04200324
talk.politics.mideast,-0.032705355,0.2611467,-0.035280887
sci.med,0.014540599,-0.1147963,0.015644843
rec.sport.baseball,0.03148284,-0.24963099,0.033912264
comp.graphics,0.03584824,-0.28436542,0.03861756
talk.politics.mideast,0.0035492338,-0.027363576,0.003803428
rec.autos,0.0072643803,-0.05688424,0.007795549
comp.graphics,-0.0416382,0.33227515,-0.044914175
comp.graphics,0.037115626,-0.2945053,0.039987918
sci.med,-0.019826045,0.15872237,-0.021405436
rec.sport.baseball,-0.027661834,0.22108799,-0.029846193
rec.sport.baseball,-0.09831787,0.78333396,-0.10601674
rec.sport.baseball,-0.1013364,0.8073397,-0.10926838
rec.sport.baseball,0.024821488,-0.1966489,0.026734475
rec.sport.baseball,-0.06202714,0.49453443,-0.0668955
talk.politics.mideast,-0.051224973,0.40859547,-0.05525583
rec.autos,-0.007492538,0.060581822,-0.008106002
rec.autos,0.0025169349,-0.019145995,0.0026887816
talk.politics.mideast,0.010608865,-0.083500005,0.011408751
talk.politics.mideast,-0.0064209444,0.051979087,-0.0069453395
comp.graphics,0.034201164,-0.2712522,0.036840975
rec.autos,0.02736502,-0.21635193,0.029472198
comp.graphics,-0.10199261,0.81258714,-0.10997657
sci.med,-0.0014729886,0.012620346,-0.0016154625
comp.graphics,0.026800675,-0.21236573,0.02886358
comp.graphics,0.014370402,-0.11344353,0.015462435
