,x,y,z
rec.autos,4.5553503,-9.545684,-1.3108999
comp.graphics,-9.44118,-5.073612,-2.9898074
sci.med,13.736701,-8.233502,2.633286
comp.graphics,-6.332351,-8.807978,2.6584628
rec.autos,-7.9684763,21.387829,-1.9595102
comp.graphics,-9.004942,20.372644,-0.51701796
rec.sport.baseball,12.933194,-3.9160292,-8.7578945
rec.autos,2.6450171,-6.8305492,-4.5306983
sci.med,3.5160315,-3.0188277,9.916135
talk.politics.mideast,-7.3587427,7.8424177,-2.432236
rec.sport.baseball,7.235457,3.8514137,-3.5311341
rec.sport.baseball,12.02024,2.1150885,-9.998607
rec.sport.baseball,8.171997,5.145623,-6.7570186
sci.med,3.4178557,4.751571,4.4006305
talk.politics.mideast,3.231604,16.726744,-3.5123987
rec.autos,-2.868036,-5.2212462,3.5543017
rec.autos,7.0745687,-7.2570343,-6.906377
talk.politics.mideast,3.8674123,16.732569,-3.5390618
rec.autos,-1.145001,3.0684674,1.2778586
rec.autos,-4.176406,-1.1838417,2.503753
rec.autos,1.4991345,-7.4850593,3.44272
comp.graphics,-4.6632824,10.808151,10.44899
rec.autos,-1.286119,-4.6235194,0.44164097
comp.graphics,-9.792566,-10.827658,0.3970257
talk.politics.mideast,2.1454673,16.123205,-2.3694808
comp.graphics,-1.285848,-16.452553,5.158791
talk.politics.mideast,6.564491,10.386304,6.141774
comp.graphics,7.577453,-12.187314,-3.7973964
rec.sport.baseball,-6.4331303,1.8551627,-7.781217
sci.med,-4.16657,0.81154406,9.277806
comp.graphics,-6.66664,-6.586457,0.8579718
rec.sport.baseball,14.029985,-3.0623934,-6.03255
sci.med,2.66689,1.6002144,7.0824313
talk.politics.mideast,5.1302314,15.316833,-3.1340284
rec.sport.baseball,-8.536156,5.739949,-9.388912
comp.graphics,7.627118,-12.166083,-3.5933056
sci.med,-3.8877473,1.3290902,10.540326
rec.sport.baseball,-12.08845,14.4719715,-4.235412
sci.med,4.084948,7.091768,6.681915
comp.graphics,-3.5215757,-16.219301,-1.873723
talk.politics.mideast,0.30680838,12.578184,5.103867
rec.autos,-10.994178,3.71674,-1.4017777
comp.graphics,-13.66494,-7.142426,-0.26456934
talk.politics.mideast,-3.892957,12.038236,-1.3380284
rec.sport.baseball,-6.386315,-3.311938,-9.0625105
rec.sport.baseball,11.072589,-16.067467,1.0206051
comp.graphics,-12.035418,-4.682942,-2.230396
sci.med,-6.5895977,16.84814,3.7358418
rec.sport.baseball,0.85929364,4.1686444,-12.930074
sci.med,3.2284455,1.4523643,11.086539
sci.med,-15.4515085,6.241588,-4.083468
rec.sport.baseball,-1.0939994,-0.66422886,-10.093065
comp.graphics,-10.528685,-8.386891,2.496338
sci.med,8.908602,3.765069,2.1363902
comp.graphics,-7.812276,14.006804,4.129846
rec.autos,0.28937072,-6.9207563,-3.7716691
talk.politics.mideast,1.012571,7.9667516,-5.080638
rec.autos,1.9197681,-4.7747736,4.9871426
sci.med,-1.0825213,2.607533,7.905894
rec.autos,3.599335,-8.181107,-3.4864638
sci.med,-6.761173,5.627881,8.483421
talk.politics.mideast,1.7544756,5.501934,1.2661393
comp.graphics,-12.950215,3.722968,-0.5841705
talk.politics.mideast,14.533888,-4.0947447,1.7209864
talk.politics.mideast,13.951278,-1.9081724,2.1845293
rec.sport.baseball,7.6534333,-9.873128,1.9369954
talk.politics.mideast,4.8556547,12.925757,-8.540294
sci.med,1.8133922,1.0714679,4.2197533
rec.sport.baseball,-10.006052,-0.12636945,-3.9647882
rec.sport.baseball,8.325079,-6.3191056,-9.065713
sci.med,3.4070525,9.005336,8.6184225
sci.med,2.6576355,-4.540871,15.004503
rec.sport.baseball,6.136249,0.9827162,-11.588027
rec.sport.baseball,-6.75979,6.2641835,-6.287883
rec.autos,-4.0486503,0.23202564,0.6008003
rec.sport.baseball,-9.249835,14.579229,-9.406989
rec.sport.baseball,7.2214403,-16.84911,-1.2504764
talk.politics.mideast,-4.524748,17.023811,-0.77318966
sci.med,4.98223,2.3324792,12.923966
rec.autos,2.0021546,-7.526639,-4.798077
comp.graphics,3.8972604,-16.733816,8.678997
rec.sport.baseball,8.324283,-0.8760228,-3.55415
comp.graphics,2.5601435,-15.050657,7.2021556
talk.politics.mideast,-4.2553415,13.928866,2.1018941
rec.sport.baseball,-9.41094,-1.7249209,-8.11711
talk.politics.mideast,0.07423538,11.579091,4.4449983
talk.politics.mideast,12.546412,-5.437047,-2.6495275
rec.sport.baseball,-7.081256,1.5601339,-9.204035
sci.med,8.448344,-6.857085,8.240119
comp.graphics,-12.69401,-3.9412453,6.5972075
sci.med,-0.65525544,5.0534663,14.569145
sci.med,1.0965083,3.4813366,3.5972416
talk.politics.mideast,9.9922905,8.689885,1.0617615
rec.sport.baseball,6.783996,2.1619644,-13.8554125
rec.sport.baseball,9.262324,-13.247808,4.717722
rec.sport.baseball,8.790665,2.8015738,-8.105746
comp.graphics,-2.497813,-18.458687,1.3423055
sci.med,10.601879,4.0008855,8.693304
rec.sport.baseball,1.7101427,-2.4565475,-11.416113
talk.politics.mideast,-5.9832244,-2.0966763,-7.4091244
sci.med,3.3737583,-2.9004927,9.907061
rec.sport.baseball,7.5715275,-4.404517,-12.832783
comp.graphics,-8.42037,-11.91597,-0.8363817
talk.politics.mideast,5.6527786,15.732112,-4.61314
comp.graphics,3.169983,-14.113568,1.8565593
sci.med,-16.070786,7.016425,-3.4038427
talk.politics.mideast,-10.689703,-3.7551126,-5.9699874
sci.med,4.755284,1.6363986,10.874515
rec.autos,-1.0454375,-9.278394,-5.565909
comp.graphics,-0.16288973,-19.806597,1.2359548
rec.autos,-7.7598743,10.543962,-10.352947
sci.med,9.348141,-5.0545077,10.464877
sci.med,-11.288221,16.731262,4.8670235
rec.autos,-14.762948,7.2360115,-1.176669
rec.sport.baseball,-4.3948216,-2.3563046,-8.750957
talk.politics.mideast,-11.991068,9.803098,-0.24496868
sci.med,7.9017467,3.0213587,13.086075
rec.autos,9.175849,-17.757114,2.2533684
rec.autos,-5.398029,-6.917788,-1.3144453
comp.graphics,-0.984106,-15.631551,-2.7481534
talk.politics.mideast,-10.552071,-4.0015497,-5.948151
talk.politics.mideast,6.1488266,13.69682,0.21616893
rec.sport.baseball,6.709885,-0.18668716,-12.5353775
sci.med,-10.523041,17.480494,-3.7531142
rec.sport.baseball,-15.799547,-1.8020605,-5.1096888
rec.autos,11.36025,-5.10708,0.37884003
sci.med,9.155628,-3.7903945,11.775426
talk.politics.mideast,6.644766,12.76119,-2.8900511
sci.med,-6.782266,5.6453195,8.501943
comp.graphics,-4.627894,-17.720236,4.8300195
talk.politics.mideast,-0.2954348,9.124558,2.1766963
talk.politics.mideast,-1.6292078,8.052009,0.51357234
rec.sport.baseball,1.0828224,3.2442896,-9.258873
comp.graphics,-4.9700727,-6.8960896,-5.750796
sci.med,3.4579353,-1.8516246,16.380093
rec.autos,-3.415253,-5.660364,3.215862
comp.graphics,4.866672,-15.3231735,1.0739971
rec.autos,-3.499258,-10.801451,-4.039099
talk.politics.mideast,6.543647,10.388246,6.1704087
rec.sport.baseball,-8.5674305,18.343582,-4.449816
