,x,y,z
rec.autos,3.9966724,-22.074419,2.0103302
comp.graphics,-9.670295,12.651082,-7.6857467
sci.med,-2.0468998,7.7217426,-14.012449
comp.graphics,-13.433025,14.072115,-8.018047
rec.autos,-2.5515585,-25.347519,-3.4248023
comp.graphics,-12.140987,0.9245054,-20.11397
rec.sport.baseball,4.7808037,-1.32395,-19.070675
rec.autos,-13.211163,-8.842822,9.541916
sci.med,4.186328,-9.95108,17.449594
talk.politics.mideast,0.018214572,20.129341,-7.3122153
rec.sport.baseball,16.60709,-5.534867,4.5324144
rec.sport.baseball,16.249264,-16.669048,-2.2942119
rec.sport.baseball,24.595293,-4.2118425,-11.16543
sci.med,4.4698963,2.2274747,10.742278
talk.politics.mideast,-6.8326626,18.638632,9.232256
rec.autos,-17.60414,-15.875922,5.6270967
rec.autos,9.342139,1.7971579,-4.9388866
talk.politics.mideast,-9.395501,16.722548,9.928608
rec.autos,4.7889156,11.39005,3.7344708
rec.autos,-9.055504,-12.399477,11.370285
rec.autos,1.0009829,-23.812586,-2.5435688
comp.graphics,-16.033861,1.4930038,16.227787
rec.autos,-14.652061,-8.519855,1.8213696
comp.graphics,-21.511795,-2.6910121,-6.213998
talk.politics.mideast,-2.499796,18.168064,9.051345
comp.graphics,-19.64037,4.1371694,-16.027372
talk.politics.mideast,10.471357,7.6037188,-6.0202217
comp.graphics,-6.5932617,0.41790214,-17.844639
rec.sport.baseball,4.9788613,3.0611093,-5.111726
sci.med,1.7437905,-0.58651364,19.67859
comp.graphics,0.5292968,18.96394,18.388062
rec.sport.baseball,6.126966,-6.2483463,-7.052468
sci.med,14.475877,3.5603406,10.195524
talk.politics.mideast,-9.158825,21.082874,10.632537
rec.sport.baseball,14.747269,6.6117744,-0.6013507
comp.graphics,-3.7902174,1.9263319,-12.858226
sci.med,6.186153,-12.663346,12.682003
rec.sport.baseball,25.801613,-6.0592546,2.5252752
sci.med,11.6041765,8.202842,17.28507
comp.graphics,-16.766897,4.2231274,-1.8813897
talk.politics.mideast,5.8470473,20.36847,-14.641506
rec.autos,-7.164138,-24.106897,2.8912287
comp.graphics,-20.840052,12.081048,-1.978221
talk.politics.mideast,6.5075607,10.470893,-9.656239
rec.sport.baseball,3.8165555,-1.4481435,-4.3922544
rec.sport.baseball,1.3592039,-6.079922,-20.525938
comp.graphics,-7.375569,6.7323756,-2.8101501
sci.med,9.13507,4.603499,9.853603
rec.sport.baseball,14.900544,1.2986101,-4.0394773
sci.med,7.505161,6.2850013,16.43555
sci.med,1.7572267,5.6929145,17.851797
rec.sport.baseball,7.063585,-5.9916296,4.7223506
comp.graphics,-13.715162,-3.0608015,-16.616926
sci.med,-0.5758115,3.6121314,1.5504688
comp.graphics,-14.198683,-4.513419,-16.690128
rec.autos,-1.6989208,-16.552067,-9.308841
talk.politics.mideast,6.113064,9.213739,-5.4364758
rec.autos,1.5044183,-10.968249,7.4503875
sci.med,-4.0551567,2.63465,25.967606
rec.autos,2.073766,-10.756745,-6.3833838
