,x,y,z
rec.autos,18.329279,3.2052834,6.585384
comp.graphics,-4.668293,6.2772927,10.782933
sci.med,20.175455,-1.4066612,1.024466
comp.graphics,-7.796961,7.740297,18.562103
rec.autos,9.408076,12.365672,11.250715
comp.graphics,-3.4068143,2.8581302,14.5723295
rec.sport.baseball,8.598484,-6.808177,4.080771
rec.autos,-4.7087045,19.330284,2.5629144
sci.med,18.602098,9.888939,-5.263712
talk.politics.mideast,0.44141242,-3.1102014,-15.650992
rec.sport.baseball,-5.1090937,-7.8609266,-6.867087
rec.sport.baseball,-2.2905922,-17.47825,9.977774
rec.sport.baseball,-6.108502,-15.792473,-8.030566
sci.med,4.171551,5.7021966,-7.866907
talk.politics.mideast,1.2844292,-13.08891,-15.661305
rec.autos,0.118280314,16.502773,11.344669
rec.autos,12.241881,-14.325681,-6.589669
talk.politics.mideast,-0.33171716,-13.970201,-18.290546
rec.autos,-9.554147,1.9107434,-6.4642506
rec.autos,-8.0568285,13.624128,8.236451
rec.autos,2.677231,13.875411,6.83336
comp.graphics,-15.483832,5.634666,10.401597
rec.autos,-1.4355209,16.77012,18.255856
comp.graphics,-4.4734507,-6.0948396,16.982895
talk.politics.mideast,4.8054767,-9.650767,-17.22912
comp.graphics,-2.084802,-3.0623178,15.215726
talk.politics.mideast,-4.2626534,7.932486,-14.187923
comp.graphics,11.816327,-3.7080112,12.007536
rec.sport.baseball,0.28736326,-4.239997,-0.6515487
sci.med,1.8009443,17.523294,-5.540851
comp.graphics,-7.1410427,3.3913825,-0.39531207
rec.sport.baseball,2.8272324,-11.458883,-3.9363983
sci.med,13.03183,2.5373745,-3.4184523
talk.politics.mideast,1.3701248,-16.115183,-14.5529175
rec.sport.baseball,-11.034933,-7.276592,-8.609739
comp.graphics,8.28539,-4.454112,9.961056
sci.med,9.260036,18.579292,-2.0382943
rec.sport.baseball,-6.179112,-21.855946,-3.9413357
sci.med,8.649713,16.960882,-12.85691
comp.graphics,0.08604706,2.197232,13.707262
talk.politics.mideast,-7.7419963,-0.4416306,-22.908262
rec.autos,11.249488,18.78809,5.6059804
comp.graphics,-18.24948,-8.934272,6.7977347
talk.politics.mideast,3.089554,-1.2380203,-9.580599
rec.sport.baseball,2.1934686,-6.5967574,-1.097713
rec.sport.baseball,6.5051293,-5.8546157,5.024736
comp.graphics,0.46881256,-0.747084,3.166676
sci.med,5.471915,6.779793,-5.66022
rec.sport.baseball,-4.6670594,-17.089975,-0.21952467
sci.med,12.085731,11.124693,-8.960419
sci.med,0.74826634,17.436003,-9.520897
rec.sport.baseball,-19.477486,-0.6143218,-7.480485
comp.graphics,4.5935063,-10.726388,15.184883
