,x,y,z
rec.autos,0.6797549,-0.17286623,0.31181005
comp.graphics,0.7221759,-0.008817087,-0.37869936
sci.med,0.22769716,-0.060193796,-0.1579728
comp.graphics,1.0047444,0.00072016614,-0.5462949
rec.autos,0.35481498,-0.20552279,1.0630643
comp.graphics,0.83376735,-0.005579138,-0.38015148
rec.sport.baseball,-0.26088908,-0.48821014,-0.1527467
rec.autos,0.2640681,-0.19576536,0.9373872
sci.med,-0.057241376,0.2817598,0.17834823
talk.politics.mideast,-1.0282279,0.6446277,-0.37148637
rec.sport.baseball,-0.47792068,-0.71700263,-0.17578223
rec.sport.baseball,-0.63658583,-1.0467046,-0.26929036
rec.sport.baseball,-0.24316531,-0.24754998,0.0020545505
sci.med,0.038518745,0.45197156,0.1601004
talk.politics.mideast,-1.9918522,0.6470553,0.08209877
rec.autos,0.2432234,-0.19641559,0.9477014
rec.autos,0.371056,-0.12531964,0.100205965
talk.politics.mideast,-2.114821,0.68009627,0.103217825
rec.autos,0.19921155,-0.26209515,1.1973649
rec.autos,0.2924906,-0.3125413,1.1996558
rec.autos,0.30301678,-0.20743504,0.96511406
comp.graphics,0.6503319,0.2519318,-0.34324288
rec.autos,0.2776667,-0.18926467,0.8985618
comp.graphics,1.0075544,0.05898665,-0.5451574
talk.politics.mideast,-1.6471673,0.62059987,-0.035915215
comp.graphics,1.0469676,0.042470086,-0.58045113
talk.politics.mideast,-0.8039166,0.50187707,-0.33621836
comp.graphics,0.6816199,-0.013934872,-0.36763784
rec.sport.baseball,-0.3881025,-0.2604171,0.14646608
sci.med,-0.10241232,0.5500901,0.24906951
comp.graphics,0.7912444,-0.40781733,-0.73959816
rec.sport.baseball,-0.40086928,-0.65640074,-0.19111964
sci.med,0.043041643,0.15396154,0.06528277
talk.politics.mideast,-2.0930305,0.67571783,0.10217846
rec.sport.baseball,-0.5444433,-0.80549747,-0.20362324
comp.graphics,1.045348,0.013518392,-0.5413153
sci.med,0.014787297,0.16689418,0.01897661
rec.sport.baseball,-0.63073236,-1.0596573,-0.28575256
sci.med,0.07657092,0.6641072,0.21189763
comp.graphics,0.5399593,0.017055517,-0.24886772
talk.politics.mideast,-1.1148392,0.71895295,-0.41937843
rec.autos,0.30083063,-0.13900569,1.0076376
comp.graphics,1.2872972,0.07739493,-0.77224654
talk.politics.mideast,-0.94325095,0.61796284,-0.4153683
rec.sport.baseball,-0.4049409,-0.73564506,-0.23391235
rec.sport.baseball,0.89870256,-0.03850977,-0.39027718
comp.graphics,1.0124936,0.031015575,-0.6038201
sci.med,0.39633185,2.4442837,0.88448876
rec.sport.baseball,-0.50149214,-0.7073403,-0.16209306
sci.med,0.0635687,0.4614062,0.16365768
sci.med,0.04703896,0.39332584,0.16879508
rec.sport.baseball,-0.4575293,-0.791449,-0.22354384
comp.graphics,0.88939553,0.06337403,-0.46782836
sci.med,0.066992454,0.3467861,0.08194971
comp.graphics,1.0640277,0.031129833,-0.5755356
rec.autos,0.23057668,-0.13773349,0.6472712
talk.politics.mideast,-0.1424648,-0.056124095,0.16150391
rec.autos,0.24949071,-0.16572613,0.8515673
sci.med,1.7216334,-1.085216,0.93834054
rec.autos,0.22112475,-0.14668663,0.49174255
sci.med,0.05487754,0.020142592,0.05668922
talk.politics.mideast,-0.64604324,0.26381838,-0.19206566
comp.graphics,0.16244805,0.21202035,-3.899056
talk.politics.mideast,-0.12239306,-0.040267438,-0.068301685
talk.politics.mideast,-0.076434515,-0.03395897,-0.039179917
rec.sport.baseball,0.8256588,-0.11033109,-0.30000392
talk.politics.mideast,-0.513439,0.2078504,-0.16192316
sci.med,0.07408949,0.4070005,0.13731056
rec.sport.baseball,-0.14792356,-0.23894131,-0.102424555
rec.sport.baseball,-0.027040996,-0.13389297,-0.074944615
sci.med,0.06479263,0.54174376,0.14601809
sci.med,0.3946518,2.434999,0.88088405
rec.sport.baseball,-0.6267846,-0.9953396,-0.25729492
rec.sport.baseball,-0.7207987,-1.1496736,-0.30373642
rec.autos,0.18716499,-0.061691668,0.74538326
rec.sport.baseball,-0.56102747,-0.9011775,-0.21749595
rec.sport.baseball,0.8086588,-0.1457098,-0.386298
talk.politics.mideast,-0.9159002,0.50588286,-0.25704938
sci.med,0.08484211,0.8793628,0.37233055
rec.autos,0.11154463,-0.20197566,0.6344788
comp.graphics,0.8273994,0.04474013,-0.4711699
rec.sport.baseball,0.083393015,-0.07672749,0.00683975
comp.graphics,0.86731267,0.037612263,-0.45675334
talk.politics.mideast,-1.4443817,1.1674728,-0.60108334
rec.sport.baseball,0.5162685,-0.20856324,-0.23713827
talk.politics.mideast,-1.1148777,0.71880347,-0.41985452
talk.politics.mideast,-0.7779441,0.41109332,-0.263298
rec.sport.baseball,-0.32011616,-0.63001007,-0.20022017
sci.med,0.65923524,0.047478832,-0.22678222
comp.graphics,0.94552195,0.018891405,-0.49185345
sci.med,-0.037708662,0.34325168,0.09599811
sci.med,1.7172498,-1.0822037,0.934953
talk.politics.mideast,-0.65823674,0.32162133,-0.1922901
rec.sport.baseball,-0.55197346,-0.9459462,-0.2507047
rec.sport.baseball,0.73046434,-0.09217736,-0.28074878
rec.sport.baseball,-0.6725835,-1.0503299,-0.27316272
comp.graphics,1.1198556,0.04980465,-0.62748915
sci.med,0.1285532,0.4314598,0.083327465
rec.sport.baseball,-0.40831947,-0.7047974,-0.16867743
talk.politics.mideast,-0.6956111,0.353185,-0.23426771
sci.med,-0.032708682,0.3429265,0.1928789
rec.sport.baseball,-0.32315388,-0.546428,-0.1506626
comp.graphics,1.2947608,0.720926,-0.5145128
talk.politics.mideast,-2.138163,0.6798393,0.106737114
comp.graphics,0.9886903,-0.02012328,-0.49019712
sci.med,0.13441676,0.86218923,0.30436894
talk.politics.mideast,-0.48643848,0.18352416,-0.1990199
sci.med,0.09193444,0.50942737,0.13716589
rec.autos,0.45430374,-0.11924142,0.20168827
comp.graphics,1.0590603,0.048450515,-0.5862852
rec.autos,-0.2145019,0.18453294,0.98491997
sci.med,0.10899117,0.74600345,0.20460936
sci.med,0.48457584,-0.15013868,-0.18500507
rec.autos,-0.49241242,-0.46267867,0.6499044
rec.sport.baseball,-0.106624804,0.025373904,0.21550687
talk.politics.mideast,-0.9461852,0.62066954,-0.41669852
sci.med,0.15044998,0.17574266,0.11946585
rec.autos,0.22288723,-0.061516814,-0.17159395
rec.autos,0.22837916,-0.15233098,0.69056237
comp.graphics,0.86493766,0.049792003,-0.5393676
talk.politics.mideast,-0.8143541,0.45909616,-0.30325404
talk.politics.mideast,-1.0377637,0.6802736,-0.38741755
rec.sport.baseball,-0.58545905,-0.95143396,-0.24131162
sci.med,0.40375417,2.501234,0.89434594
rec.sport.baseball,1.0357158,-0.072506525,-0.40258223
rec.autos,-0.12727244,-0.15941739,-0.0896383
sci.med,0.78053975,-0.0691134,-0.27115223
talk.politics.mideast,-1.7774516,0.61742926,0.06980879
sci.med,0.0455699,0.0053096865,0.046050612
comp.graphics,1.0659128,-0.008077369,-0.561862
talk.politics.mideast,-0.92495567,0.5346246,-0.35415116
talk.politics.mideast,-1.0766029,0.7012145,-0.39156008
rec.sport.baseball,-0.6467041,-1.0789871,-0.29013002
comp.graphics,0.6281755,-0.002731761,-0.2905236
sci.med,0.04248892,0.26311523,0.2782044
rec.autos,0.278407,-0.19668946,0.91507804
comp.graphics,0.8932738,0.030044936,-0.47539866
rec.autos,0.3185485,-0.24410819,1.0948654
talk.politics.mideast,-0.7915957,0.48780426,-0.32887906
rec.sport.baseball,-0.6503839,-1.1054854,-0.3043275
rec.sport.baseball,-0.474436,-0.81068295,-0.21042229
rec.sport.baseball,-0.10161551,-0.24988376,-0.07502696
rec.autos,0.27753082,-0.18763065,0.89352053
comp.graphics,0.55719966,0.1012664,-0.30777392
talk.politics.mideast,-0.9832324,0.6319448,-0.4026374
talk.politics.mideast,-0.83020365,0.44350448,-0.21445724
rec.autos,0.5942794,-0.18733396,0.06915914
comp.graphics,0.6688378,0.17930955,-0.29007652
comp.graphics,0.81149703,0.026596224,-0.4934697
talk.politics.mideast,-1.9274536,1.0688585,0.17783578
comp.graphics,1.0381069,0.034700513,-0.61095047
rec.sport.baseball,-0.6438999,-1.0724603,-0.28954658
rec.autos,0.28234276,-0.18915366,0.7719022
rec.autos,0.56069314,-0.18214186,0.48745766
rec.autos,0.2867589,-0.1945864,0.90069133
rec.autos,0.3039293,-0.2688057,1.1208844
sci.med,1.6965798,-1.0656579,0.9248929
rec.autos,-0.38826934,0.30866882,1.2429528
sci.med,0.13145901,-0.049960684,0.3951225
rec.autos,0.2793399,-0.23909485,1.2916198
rec.sport.baseball,0.03691923,-0.120195754,-0.07691138
sci.med,-0.3281087,-0.22960107,-0.081191964
rec.autos,0.18396318,-0.042480152,-0.03839489
sci.med,0.46425107,-0.026118964,-0.2174208
comp.graphics,0.8668531,0.049507163,-0.5408698
comp.graphics,1.0539767,0.021658223,-0.5869523
talk.politics.mideast,-1.1945685,1.0852958,-0.84688294
sci.med,0.023965577,0.19619426,0.017466674
rec.sport.baseball,-0.46553692,-0.9095461,-0.24737531
comp.graphics,0.996186,0.046698518,-0.55825305
talk.politics.mideast,-2.1242142,0.6760674,0.103355855
rec.autos,0.3743796,-0.2130981,0.9903575
comp.graphics,1.1177121,0.04868593,-0.6286453
comp.graphics,1.128085,0.023119038,-0.6044315
sci.med,0.24109936,1.7578058,0.67613715
rec.sport.baseball,-0.6568198,-1.0605776,-0.2787438
rec.sport.baseball,-0.63011336,-0.9373113,-0.22970264
