,x,y,z
rec.autos,0.07533738,-0.6162531,2.5295677
comp.graphics,1.2763442,0.8933095,0.60400975
sci.med,0.46175116,-0.105367236,0.99342775
comp.graphics,2.6223192,0.063227475,1.3795152
rec.autos,-1.0289472,-1.0208005,1.5156133
comp.graphics,0.7629771,-0.16730294,1.6675656
rec.sport.baseball,-0.35037342,0.24507289,0.64160705
rec.autos,-2.4890492,-1.8395015,0.13413423
sci.med,0.24369596,-0.5166436,-0.14746855
talk.politics.mideast,0.10531358,1.9438,-0.7927366
rec.sport.baseball,-0.80558914,0.25462946,0.17340171
rec.sport.baseball,-1.1913024,0.49657777,0.044272047
rec.sport.baseball,0.037292667,-0.39219674,0.2619541
sci.med,-1.3049402,-0.57533175,2.5699568
talk.politics.mideast,-0.7942159,2.031692,-2.1538117
rec.autos,-1.2307577,-1.161049,1.5285239
rec.autos,0.29065365,0.5741245,2.7010014
talk.politics.mideast,-0.8741917,2.0197191,-2.253057
rec.autos,2.1898422,2.6398122,-2.7338963
rec.autos,4.1926026,-0.7474835,-1.2626113
rec.autos,-1.1642778,-1.1443366,1.533411
comp.graphics,1.332903,-1.2693104,1.4346952
rec.autos,-2.0766144,-0.68706834,2.2431417
comp.graphics,2.3045337,0.013803571,2.0918977
talk.politics.mideast,-0.39764005,2.3631651,-2.0623982
comp.graphics,1.3747038,-0.31839114,1.8362573
talk.politics.mideast,1.5841829,1.7000015,-1.4944308
comp.graphics,0.62780565,0.5968326,2.1635418
rec.sport.baseball,-0.095511675,1.9537603,-0.14797983
sci.med,-0.88127685,-0.29191384,-4.905572
comp.graphics,3.3635523,0.14606558,1.1236403
rec.sport.baseball,-0.6897426,0.8044543,-0.44806117
sci.med,0.14995225,-0.1826456,0.661099
talk.politics.mideast,-1.3282545,1.8822966,-2.5590737
rec.sport.baseball,-1.4597808,-0.07226725,-0.63896126
comp.graphics,0.73687124,0.37384224,2.1885219
sci.med,1.122472,-1.62375,0.20353176
rec.sport.baseball,-2.8481183,0.28426954,0.4148371
sci.med,0.93567604,-0.50319207,-0.7648735
comp.graphics,0.8716628,0.035844695,1.6729314
talk.politics.mideast,-0.7324574,3.7680485,-0.17952026
rec.autos,-1.2685882,-1.7719798,0.97983146
comp.graphics,-1.491144,-3.2456515,-4.2125297
talk.politics.mideast,-2.8754642,-1.5340967,-3.5212
rec.sport.baseball,3.1381943,0.1454871,-4.6621976
rec.sport.baseball,0.8708919,-0.29067668,0.76116693
comp.graphics,-0.40519872,-0.97267103,4.5823383
sci.med,1.0230918,-1.9219294,-2.0370808
rec.sport.baseball,-0.24457687,1.676555,0.10811493
sci.med,0.3023774,-1.0462549,-0.24993168
sci.med,1.518222,-1.6280017,-0.6651963
rec.sport.baseball,0.49490517,4.00198,0.4582763
comp.graphics,1.2203996,-0.41413623,1.41041
sci.med,0.34191093,-0.3144988,0.19894
comp.graphics,-4.2889786,-0.81264603,1.4426829
rec.autos,-1.3348835,-1.1847169,1.5586495
talk.politics.mideast,-0.8021103,0.11913532,-0.0062580556
rec.autos,-1.6599072,-1.7731222,-4.9909616
sci.med,-1.7240552,-3.1606777,-3.1143467
rec.autos,-1.2756362,-0.6737951,1.6073807
sci.med,-0.023662811,0.18426324,-0.20175487
talk.politics.mideast,-2.911306,1.4854993,1.8895286
comp.graphics,0.82749104,3.6816518,-3.5588086
talk.politics.mideast,0.1791976,-0.097938836,0.67096454
talk.politics.mideast,0.0069836834,-0.11821902,0.59981704
rec.sport.baseball,0.3277177,-0.482912,2.9991448
talk.politics.mideast,-0.5407775,2.0699549,-1.7442732
sci.med,0.7568857,0.09893723,0.18014346
rec.sport.baseball,-1.4633675,1.2046944,1.1063145
rec.sport.baseball,-0.061665215,0.082122,0.6480469
sci.med,0.7698208,-0.5262215,-0.40134516
sci.med,0.90959483,-1.8116851,-1.8196255
rec.sport.baseball,-1.1346244,0.45065722,0.107587814
rec.sport.baseball,-2.577095,1.2868543,-0.0044511706
rec.autos,0.23680696,-1.9880276,1.0590634
rec.sport.baseball,-0.51827234,0.11151223,0.4060465
rec.sport.baseball,0.67236185,-0.37785056,1.6065565
talk.politics.mideast,-0.24015073,2.2429068,-1.3107686
sci.med,0.8757354,-1.092514,-0.9559047
rec.autos,3.363591,2.5905433,0.0597336
comp.graphics,1.4504038,-0.16394025,1.7592967
rec.sport.baseball,0.75454766,-3.5939977,-6.8530874
comp.graphics,1.2814271,-0.10515378,1.6806034
talk.politics.mideast,-0.979912,3.2530153,-0.88387907
rec.sport.baseball,0.17080511,-0.075260624,1.9538742
talk.politics.mideast,-0.7316743,3.764161,-0.18038024
talk.politics.mideast,-0.0076484946,2.0790052,-0.6121429
rec.sport.baseball,-0.119038284,0.89517266,0.31541178
sci.med,1.7305701,-0.9450861,0.66115844
comp.graphics,-4.282975,-0.8098588,1.4417157
sci.med,0.7468402,-0.50323576,-0.54893637
sci.med,-0.8469535,-0.9781462,-2.6079512
talk.politics.mideast,0.19788194,1.5057125,-0.5381981
rec.sport.baseball,0.34984577,2.6629415,2.7447906
