,x,y,z
rec.autos,-2.1994853,-26.133917,6.6846886
comp.graphics,20.147963,14.396069,-8.070871
sci.med,13.730138,-18.711462,11.779627
comp.graphics,9.442896,2.6738415,-14.313138
rec.autos,-29.344593,33.18655,-11.741738
comp.graphics,-24.180195,30.841562,-13.481596
rec.sport.baseball,9.311923,-3.3233254,26.462412
rec.autos,-7.180022,-17.130754,13.976949
sci.med,-2.3396587,-18.571024,-24.483122
talk.politics.mideast,-6.54104,21.054241,1.825267
rec.sport.baseball,5.1911945,-4.686292,5.5302
rec.sport.baseball,23.067211,-0.37062833,16.554428
rec.sport.baseball,15.920825,-2.1214628,6.1548934
sci.med,-6.9020524,-3.3409326,-9.882904
talk.politics.mideast,-26.670511,9.944318,17.3428
rec.autos,-19.448875,-16.824226,-2.3651478
rec.autos,17.363974,-20.757484,21.42923
talk.politics.mideast,-27.291752,10.830286,15.343928
rec.autos,-3.890034,1.298459,-3.0065374
rec.autos,-0.1545604,12.840592,-13.64214
rec.autos,-4.426534,-26.265505,-5.7658267
comp.graphics,-17.718655,6.0207276,24.806524
rec.autos,-14.991656,-17.143507,2.8512661
comp.graphics,17.805601,7.9490438,-19.458075
talk.politics.mideast,-23.218939,8.736812,18.9343
comp.graphics,23.549446,-14.777405,-0.8962129
talk.politics.mideast,-22.066172,-0.6461337,-7.510621
comp.graphics,3.644183,-26.376255,15.480233
rec.sport.baseball,10.673901,17.056929,2.006003
sci.med,-0.053741958,5.684663,-25.703573
comp.graphics,-11.2615595,-4.4829926,20.269398
rec.sport.baseball,14.658973,-11.747634,24.14588
sci.med,-7.8592606,-7.0632305,-16.067896
talk.politics.mideast,-27.013102,8.037075,13.28572
rec.sport.baseball,6.7561274,23.667345,12.216547
comp.graphics,3.494368,-27.225689,13.690315
sci.med,1.4991572,5.031911,-22.371943
rec.sport.baseball,-12.602644,36.29981,-3.3029206
sci.med,-11.43311,-4.477226,-10.428179
comp.graphics,19.516628,-25.404661,-11.939733
talk.politics.mideast,-21.541754,8.619574,-7.9110055
rec.autos,3.394024,21.992445,-3.3292117
comp.graphics,16.786469,16.791885,-19.233845
talk.politics.mideast,-14.370996,19.000427,4.944764
rec.sport.baseball,25.073324,19.964762,6.1542115
rec.sport.baseball,9.201922,-38.24419,9.643279
comp.graphics,16.768648,19.668528,-11.039571
sci.med,-22.30575,20.142054,-12.245706
rec.sport.baseball,2.2418818,16.190554,10.717457
sci.med,1.4435078,-5.9001427,-21.805386
sci.med,0.52043295,34.738777,4.6451335
rec.sport.baseball,2.0018625,8.717027,22.03655
comp.graphics,9.477826,8.97067,-18.683104
sci.med,-19.77812,-8.271379,6.3846316
comp.graphics,-21.793554,24.892426,-17.87186
rec.autos,-12.863759,-19.403278,15.170441
talk.politics.mideast,-14.806848,3.4603693,12.379388
rec.autos,-7.8169966,-21.928423,-7.1880527
sci.med,-4.0872865,-2.910277,-29.757654
rec.autos,-4.4003935,-19.622055,12.395279
sci.med,11.163058,8.361001,-4.5399346
talk.politics.mideast,-12.530286,-0.30711442,0.79300016
comp.graphics,-1.1749917,24.157047,-4.671253
talk.politics.mideast,-0.59545237,-16.77206,30.155647
talk.politics.mideast,2.5300016,-18.504572,26.081312
rec.sport.baseball,6.721655,-19.754526,5.8966417
talk.politics.mideast,-16.976915,14.941651,20.715193
sci.med,-19.55853,-5.2609982,-15.742814
rec.sport.baseball,12.282369,19.742327,-3.1691318
rec.sport.baseball,9.184639,-5.4403763,31.169992
sci.med,-13.680253,3.340086,-23.600008
sci.med,-11.655361,-19.744734,-19.495867
rec.sport.baseball,13.59461,7.7846212,12.679623
rec.sport.baseball,2.5076046,16.11143,7.92429
rec.autos,1.4565237,6.5365496,-6.355456
rec.sport.baseball,-14.547955,29.417355,-21.446598
rec.sport.baseball,11.97271,-25.903728,8.063723
talk.politics.mideast,-21.724556,25.64071,-1.9352376
sci.med,5.089659,-2.6572216,-21.081182
rec.autos,-9.519311,-17.867855,15.877416
comp.graphics,26.438673,-10.298879,5.013743
rec.sport.baseball,1.9433517,-11.376327,16.622421
comp.graphics,20.668934,-17.53086,5.5816884
talk.politics.mideast,-18.360106,20.399307,-3.9361806
rec.sport.baseball,18.713814,21.207499,3.1975868
talk.politics.mideast,-19.342163,8.636122,-5.9742727
talk.politics.mideast,8.108967,-17.61301,27.099247
rec.sport.baseball,13.335299,19.935598,10.162565
sci.med,5.639567,-22.984375,-13.079445
comp.graphics,22.86363,1.7932646,-6.9912624
sci.med,11.648938,-4.715612,-18.793089
sci.med,-8.727323,-1.6012883,-6.933481
talk.politics.mideast,-30.255928,-4.8136964,2.1491985
rec.sport.baseball,15.214569,9.767857,19.434141
rec.sport.baseball,16.237194,-37.231064,11.931188
rec.sport.baseball,15.853758,-1.1498528,12.577472
comp.graphics,24.524048,-19.818684,-8.568789
sci.med,12.52011,-20.425907,-23.46355
rec.sport.baseball,10.545373,16.602743,20.271812
talk.politics.mideast,27.137291,17.261353,2.6278203
sci.med,-2.7251105,-17.822523,-25.469898
rec.sport.baseball,12.280538,-6.9946766,0.8063856
comp.graphics,18.859749,5.548754,-21.779976
talk.politics.mideast,-28.44669,11.97582,11.670727
comp.graphics,10.965526,-25.18856,-1.738183
sci.med,-1.7509536,36.69632,5.16675
talk.politics.mideast,17.915455,19.62017,-4.6075325
sci.med,0.005845223,-7.9307795,-19.987677
rec.autos,30.422888,-17.794197,12.708171
comp.graphics,24.24258,-20.985888,-1.473984
rec.autos,-6.9498205,18.434649,-17.123425
sci.med,5.7298837,-17.559237,-16.248877
sci.med,-14.847183,22.31073,-21.979918
rec.autos,-3.1135905,33.362167,-2.7390845
rec.sport.baseball,16.661581,16.317055,1.9117426
talk.politics.mideast,-9.153652,27.074604,0.9637449
sci.med,-1.5733428,-13.6328335,-28.642406
rec.autos,11.479839,-39.464775,4.543499
rec.autos,-22.954748,-21.20842,10.116352
comp.graphics,15.54338,-28.982996,-10.033047
talk.politics.mideast,20.08382,19.733902,-5.110231
talk.politics.mideast,-19.123219,3.7634866,10.668929
rec.sport.baseball,14.713053,0.979037,18.976748
sci.med,-21.241833,34.591213,-3.1835256
rec.sport.baseball,14.217503,29.282871,-10.4801235
rec.autos,9.563444,-25.759348,22.049387
sci.med,2.7660923,-16.220684,-15.757066
talk.politics.mideast,-25.951416,2.5032675,9.915631
sci.med,12.027587,8.465282,-3.6341968
comp.graphics,27.135347,-12.1213045,-5.1041455
talk.politics.mideast,-13.95004,15.132796,-6.649813
talk.politics.mideast,-13.448405,9.346919,-3.0991287
rec.sport.baseball,16.595211,6.732904,2.9349298
comp.graphics,17.198248,-1.2949135,-6.7911386
sci.med,-13.929797,-16.89696,-14.727682
rec.autos,-17.778055,-17.622349,-0.22695807
comp.graphics,13.2892,-26.682356,2.1670487
rec.autos,-16.325552,-29.901297,11.79575
talk.politics.mideast,-21.202799,0.050120763,-8.096171
rec.sport.baseball,-24.416729,33.550495,-3.007752
rec.sport.baseball,9.682434,-4.672881,14.215852
rec.sport.baseball,10.07588,-12.598389,17.921103
rec.autos,-5.3301387,-20.508192,-1.671177
comp.graphics,-15.745273,3.2933145,25.290108
talk.politics.mideast,-18.548061,10.027938,6.4526935
talk.politics.mideast,-34.241325,3.8105001,10.842529
rec.autos,-5.892556,8.854119,18.856947
comp.graphics,9.86335,10.043152,-12.000352
comp.graphics,15.318301,16.993467,-7.454597
