,x,y,z
rec.autos,1.5537158,-7.5759144,1.6516764
comp.graphics,-8.69524,0.8739093,2.9172878
sci.med,-1.5860146,-10.614272,5.1290603
comp.graphics,-6.847175,-0.6143201,7.6794667
rec.autos,-0.6352448,17.72824,-5.0719767
comp.graphics,0.040982615,17.527279,-3.6428592
rec.sport.baseball,2.027571,-11.597984,-4.6053977
rec.autos,3.839608,-4.9196124,0.6263609
sci.med,7.907384,-2.4948943,3.623736
talk.politics.mideast,-3.452335,8.754718,-1.1391002
rec.sport.baseball,0.7668418,-0.42283255,-7.3326488
rec.sport.baseball,-1.7533354,-6.4186535,-8.160991
rec.sport.baseball,-0.9256566,-2.5315661,-8.214972
sci.med,3.8973172,3.9743097,-2.7530093
talk.politics.mideast,4.4410615,3.7948394,-9.374431
rec.autos,1.1679896,-3.1336982,5.7813764
rec.autos,-0.076864146,-9.321281,-1.6960671
talk.politics.mideast,4.4434924,4.1159563,-9.756434
rec.autos,0.045794692,3.6708002,0.50175315
rec.autos,-1.5676459,2.3940315,4.7955346
rec.autos,0.3642997,-3.662312,1.0514627
comp.graphics,5.4065356,9.173566,-6.26417
rec.autos,-0.51131564,-2.24792,4.812574
comp.graphics,-8.323325,3.5972922,7.6016192
talk.politics.mideast,2.7808373,4.1464725,-9.446297
comp.graphics,-2.30485,-9.378467,7.1418347
talk.politics.mideast,6.31216,-0.51552176,-5.4678583
comp.graphics,0.9692219,-9.587342,-1.4660933
rec.sport.baseball,-6.4388604,3.755431,-0.2877642
sci.med,4.098177,7.2056527,4.3184814
comp.graphics,-3.023459,-7.140569,5.7697697
rec.sport.baseball,3.8291047,-9.38545,-5.562891
sci.med,5.8030424,1.7991817,2.4767938
talk.politics.mideast,4.293852,2.9630415,-9.39763
rec.sport.baseball,-6.6366324,6.0556192,-3.9451616
comp.graphics,1.4722704,-10.092515,-1.6030122
sci.med,4.8950596,7.3168764,3.428997
rec.sport.baseball,-4.621631,15.212525,-2.3543735
sci.med,5.650562,2.392042,-0.2136842
comp.graphics,3.182747,-10.267129,7.968788
talk.politics.mideast,2.2756786,6.575369,-2.6067746
rec.autos,-3.7167525,4.8554115,2.901235
comp.graphics,-9.214404,4.5366797,4.6399174
talk.politics.mideast,-1.0634161,6.939567,-4.60512
rec.sport.baseball,-9.631969,-1.8258487,-1.7292587
rec.sport.baseball,0.8779539,-13.849228,0.45588467
comp.graphics,-9.091454,2.881087,2.5484972
sci.med,1.6468301,13.106587,-3.6539197
rec.sport.baseball,-5.8032765,2.5678382,-4.4161057
sci.med,8.378351,1.9273767,3.6459794
sci.med,-7.7852845,11.534492,-0.48044902
rec.sport.baseball,-3.98164,0.4692972,-0.9842097
comp.graphics,-7.5318646,1.6748215,5.9829655
sci.med,7.113378,-2.1400511,-2.0011976
comp.graphics,0.9395088,14.079303,-1.3694254
rec.autos,-2.1972086,-3.3653045,2.5163512
talk.politics.mideast,-7.456901,-1.9157482,-1.1834097
rec.autos,-2.4450188,-2.926952,1.8043605
sci.med,6.1966443,3.3539639,2.6014009
rec.autos,1.5129719,-6.1647363,-0.9156571
sci.med,2.5714726,6.623273,2.7236958
talk.politics.mideast,3.8179908,0.8111313,-3.360911
comp.graphics,-5.5598927,9.498728,0.5498302
talk.politics.mideast,6.466883,-10.877307,-3.3398
talk.politics.mideast,6.8595753,-10.149588,-3.172168
rec.sport.baseball,2.183563,-10.107851,1.2997739
talk.politics.mideast,0.28817645,6.8695984,-7.6454754
sci.med,8.809109,3.773775,0.5137704
rec.sport.baseball,-7.241796,3.8183472,0.040035143
rec.sport.baseball,5.952307,-11.417051,-4.4865274
sci.med,4.733981,6.663621,1.4601116
sci.med,4.60194,1.0370294,5.6276484
rec.sport.baseball,-4.5163717,-2.3695202,-5.881868
rec.sport.baseball,-4.740824,5.0863194,-3.1060243
rec.autos,-2.875107,5.717469,2.731715
rec.sport.baseball,-1.3600512,14.154344,2.6044052
rec.sport.baseball,5.077059,-12.336415,2.4716892
talk.politics.mideast,-0.5030522,12.742936,-5.9972405
sci.med,9.340751,1.7184483,3.5421836
rec.autos,-0.19560714,-0.49366444,2.3263206
comp.graphics,-3.8425093,-10.726352,6.1384196
rec.sport.baseball,3.8303478,-8.018943,-3.933821
comp.graphics,-2.7509468,-10.888225,5.9053407
talk.politics.mideast,0.23906432,10.728637,-3.2029967
