,x,y,z
rec.autos,-0.000121616045,-9.220863e-05,-0.00015691982
comp.graphics,-0.00011894601,-1.7630353e-05,-0.00058868
sci.med,-0.000120682795,3.272507e-05,-5.9863156e-05
comp.graphics,-0.00011485623,-1.3845511e-05,3.133162e-05
rec.autos,-0.00011760149,2.6849615e-05,-5.7535803e-05
comp.graphics,-9.9210476e-05,-0.00034769563,4.2996042e-05
rec.sport.baseball,-0.000118895965,-3.4757293e-05,-8.567427e-06
rec.autos,3.2800337e-05,-0.0029742462,0.00012087729
sci.med,-0.00011880462,3.2224227e-05,1.4935805e-05
talk.politics.mideast,-0.000116697236,-1.4747571e-05,1.1420929e-05
rec.sport.baseball,-0.00012761711,4.3782275e-06,-5.3643125e-05
rec.sport.baseball,-0.00011644391,9.056133e-06,-4.6512064e-06
rec.sport.baseball,-0.00011796373,-4.1939536e-05,-4.722548e-05
sci.med,-0.000118356314,-0.00010280524,2.3651603e-05
talk.politics.mideast,-0.0001147746,-2.460792e-05,-1.5811158e-06
rec.autos,-0.00011922276,6.9903544e-06,1.2979461e-05
rec.autos,-7.1143266e-05,9.4417184e-05,3.1148193e-06
talk.politics.mideast,-0.00011567478,-9.097137e-06,-1.1821518e-06
rec.autos,-0.00011749966,-9.04232e-05,8.0626796e-07
rec.autos,-0.00010210245,-0.00013513984,-6.072438e-05
rec.autos,-0.00011303364,-2.259457e-05,-7.0328215e-06
comp.graphics,-0.00011358918,-1.1538246e-05,3.24664e-05
rec.autos,-0.00011722663,-6.3652784e-05,2.69569e-05
comp.graphics,-0.00011373724,-8.11652e-05,1.4542091e-05
talk.politics.mideast,-0.000118214,-3.954852e-05,3.906569e-06
comp.graphics,-8.646069e-05,-0.0004926161,-3.2397038e-06
talk.politics.mideast,-0.000110533336,1.9332996e-05,-2.8957042e-05
comp.graphics,-9.232668e-05,-0.00022418254,-6.795694e-05
rec.sport.baseball,-0.000116956515,-0.00017694049,-0.00017623778
sci.med,-0.000119099954,-3.7365702e-05,-1.4868267e-05
comp.graphics,-0.00011783739,-4.0580646e-05,-5.458948e-05
rec.sport.baseball,-0.0001090477,-0.00011350933,2.4059214e-05
sci.med,-0.00013079673,2.1888187e-05,1.200807e-05
talk.politics.mideast,-0.00011572355,-1.5008276e-05,-3.5954158e-06
rec.sport.baseball,-0.00012364678,-2.9735156e-06,-1.758355e-05
comp.graphics,-0.00011131014,-5.2527637e-05,-3.255589e-06
sci.med,-0.000102993494,7.778603e-06,-5.765787e-05
rec.sport.baseball,-0.000116498915,1.4229698e-05,3.8940166e-06
sci.med,-0.00011703945,-2.5176343e-05,1.7730039e-05
comp.graphics,-1.7872648e-05,-0.0017234772,-6.985192e-05
talk.politics.mideast,-0.00011179029,-9.816322e-07,8.302792e-06
rec.autos,-0.00011602721,-7.4600102e-06,1.3466266e-05
comp.graphics,-0.000115768125,-4.2612974e-05,5.984617e-06
talk.politics.mideast,7.104155e-05,0.00023272185,9.700595e-05
rec.sport.baseball,-7.728439e-05,0.00011104558,-0.00013072178
rec.sport.baseball,-0.00010673329,-0.0002056958,-7.092095e-06
comp.graphics,-7.779042e-05,-1.2521494e-05,2.2544336e-05
sci.med,-0.00010015888,-0.000103444094,-1.0193113e-05
rec.sport.baseball,-0.0001206084,-2.2703625e-07,-1.8091487e-05
sci.med,-0.00013089925,9.426127e-06,-7.755163e-06
sci.med,-0.00012143772,8.102035e-06,1.9079107e-06
rec.sport.baseball,-0.000116275136,-2.8829365e-05,-2.326128e-05
comp.graphics,-0.000120257835,1.9485713e-05,-2.3982218e-05
sci.med,-0.00010317992,-7.246372e-05,-9.529992e-06
comp.graphics,-0.00011389596,-6.1901796e-05,-5.6109875e-06
rec.autos,-0.00011736788,-0.00011418119,3.4310797e-06
talk.politics.mideast,-2.442929e-05,0.00023434986,0.00045133661
rec.autos,-0.00011343371,-5.2108866e-05,3.4998215e-05
sci.med,-0.00011637455,-4.2954536e-05,-1.8784933e-05
rec.autos,-0.000115892224,-0.0002143543,-0.0003040295
sci.med,-0.00010697936,-0.00016256895,1.156883e-05
talk.politics.mideast,-0.000108476,-3.2390668e-05,-3.0403717e-06
comp.graphics,-0.00011625367,-8.264971e-06,-1.047636e-06
talk.politics.mideast,-0.00011896726,-5.8139343e-05,-7.3416813e-06
talk.politics.mideast,-0.000116871284,1.928798e-05,1.3258646e-05
rec.sport.baseball,-0.00011902962,-0.00017587282,0.00013167325
talk.politics.mideast,-0.000114677445,-3.1279727e-05,-1.7427501e-06
sci.med,-0.0001251621,1.6030619e-05,2.6901962e-06
rec.sport.baseball,-0.00013919901,1.7751525e-05,7.003073e-07
rec.sport.baseball,-0.00011744456,-2.4348046e-05,1.5154628e-06
sci.med,-0.000116932926,-3.4760764e-05,-2.7512106e-06
sci.med,-0.00011551211,-1.1676784e-05,-1.0040923e-05
rec.sport.baseball,-0.000116744115,1.0283374e-05,-1.2768614e-06
rec.sport.baseball,-0.00012219613,2.5162963e-06,-3.0626023e-05
rec.autos,-0.000118910924,1.1677206e-05,3.0762967e-06
rec.sport.baseball,-0.00012036067,-2.2314736e-05,-8.470848e-06
rec.sport.baseball,-0.0001182772,-9.546697e-05,-1.386932e-05
talk.politics.mideast,-0.000113772956,-3.680404e-05,-4.119849e-06
sci.med,-0.00012014738,-9.03689e-05,1.6059334e-05
rec.autos,-0.000113385555,-0.00018376202,1.7862441e-05
comp.graphics,-0.00010871007,-0.00015667973,4.837134e-07
rec.sport.baseball,-9.8383294e-05,-0.00037882768,6.812831e-05
comp.graphics,-5.0674804e-05,-0.0011119568,0.000106404805
talk.politics.mideast,-0.0001240524,-1.4490979e-06,-4.825646e-06
rec.sport.baseball,-0.00012901046,1.2275408e-05,1.8513929e-05
