,x,y,z
rec.autos,0.4455953,-8.354733,-0.96465665
comp.graphics,-1.6987383,0.6251395,6.4066396
sci.med,4.609008,0.92136633,3.9229195
comp.graphics,0.97534406,1.4323434,10.172648
rec.autos,-0.39010155,-12.243455,0.9351128
comp.graphics,-2.7391522,-4.410744,7.1200757
rec.sport.baseball,5.930078,-4.132964,0.3928806
rec.autos,4.043318,-9.511767,5.66384
sci.med,0.21300513,9.165978,5.6213384
talk.politics.mideast,0.65527356,8.871719,-5.7289467
rec.sport.baseball,2.451636,-0.15906656,-6.7450137
rec.sport.baseball,3.101506,-7.303555,-8.454747
rec.sport.baseball,7.27559,-5.808574,-7.2820764
sci.med,0.22025508,5.750311,2.552421
talk.politics.mideast,3.359582,9.672187,-9.219262
rec.autos,-0.26270744,-12.154854,4.5367985
rec.autos,-3.8083682,-5.2661343,-5.808923
talk.politics.mideast,2.4396696,10.112457,-10.431083
rec.autos,-3.2849572,2.1874168,-3.7808802
rec.autos,0.9088929,-8.244241,5.6669993
rec.autos,1.0804571,-10.128113,0.66095424
comp.graphics,-7.5951905,1.64797,7.5933056
rec.autos,2.1874218,-6.251587,4.007461
comp.graphics,-6.575897,-3.1077175,9.1132965
talk.politics.mideast,3.6240757,8.633576,-8.018896
comp.graphics,-1.0890893,-0.49504837,9.498414
talk.politics.mideast,4.9177375,4.243117,-1.8862892
comp.graphics,3.0518646,-3.4502475,4.1503
rec.sport.baseball,0.3060847,-1.0435354,-3.4476013
sci.med,-5.3529263,6.4734173,3.467635
comp.graphics,-3.3386853,-1.2458202,-6.3848124
rec.sport.baseball,0.9629623,-2.9377937,-3.1593723
sci.med,2.057583,6.86888,2.3492584
talk.politics.mideast,3.8072388,10.569607,-9.821667
rec.sport.baseball,4.1509633,1.5245725,-7.6415443
comp.graphics,3.3695395,-2.157382,2.6536942
sci.med,-3.2456417,6.678299,4.267908
rec.sport.baseball,4.5674725,-7.672065,-12.035555
sci.med,-3.250588,9.996034,3.234342
comp.graphics,-4.0998645,-2.4983375,5.288061
talk.politics.mideast,0.34774333,11.377941,-2.238728
rec.autos,-4.1156588,-10.579996,0.9167252
comp.graphics,-10.15278,-0.013636278,0.9401818
talk.politics.mideast,-0.6074269,5.1060834,-5.162435
rec.sport.baseball,2.1977873,-2.2601063,-2.062107
rec.sport.baseball,4.8233337,-4.3702106,0.70730346
comp.graphics,-0.27925822,0.15745336,-0.36159194
sci.med,0.48058793,5.7599254,1.244559
rec.sport.baseball,2.853635,-3.116113,-7.969659
sci.med,-2.0517025,8.9116535,3.727257
sci.med,-4.9519324,6.6121573,2.044715
