,x,y,z
rec.autos,6.482629,-0.89285654,8.024636
comp.graphics,8.540074,3.4305403,2.9387927
sci.med,2.941069,-1.1205302,0.19968827
comp.graphics,9.976168,7.304141,-1.3616989
rec.autos,0.5256773,1.458862,12.287757
comp.graphics,8.65803,-0.18189016,1.2832798
rec.sport.baseball,1.1137062,-4.2708244,-3.979831
rec.autos,-1.8784599,-2.2267249,9.17748
sci.med,-3.8050652,6.5353146,3.6775024
talk.politics.mideast,-9.405437,2.4091563,-3.0932913
rec.sport.baseball,-3.4793289,-8.485761,-0.9079518
rec.sport.baseball,-1.0277699,-12.073288,-3.3779988
rec.sport.baseball,-0.10319737,-8.954057,0.22167687
sci.med,-3.6486814,5.968957,-1.8797019
talk.politics.mideast,-11.626872,1.5062299,4.1219373
rec.autos,-2.1985192,0.29924893,9.961684
rec.autos,6.5227313,-1.196967,5.317902
talk.politics.mideast,-12.855593,3.693248,5.1141047
rec.autos,-5.4072742,2.0263932,9.046136
rec.autos,1.5359676,-7.9560385,9.407737
rec.autos,2.2088878,0.5580114,9.416661
comp.graphics,4.5578995,8.154675,-2.5422544
rec.autos,-0.6421546,-4.515555,8.061543
comp.graphics,10.132508,5.3150473,-2.7106166
talk.politics.mideast,-10.08481,0.1563104,2.0368018
comp.graphics,8.492687,5.232483,-2.866161
talk.politics.mideast,-9.128049,-4.3134007,-3.1331024
comp.graphics,2.4057264,0.2814394,-1.9531868
rec.sport.baseball,-6.406311,-6.316094,4.769367
sci.med,-0.64160734,5.840983,-8.614516
comp.graphics,5.0738807,-0.80611277,-10.958061
rec.sport.baseball,1.893474,-5.2968545,-1.9026273
sci.med,-1.122693,3.6605437,-0.12665464
talk.politics.mideast,-12.334438,2.9192648,5.406457
rec.sport.baseball,-4.9056444,-8.961152,-0.41264865
comp.graphics,9.377055,-1.1532273,-0.39107758
sci.med,-0.6714681,8.144548,-3.6476123
rec.sport.baseball,3.480783,-10.320031,-6.322625
sci.med,-5.1244793,8.470831,-0.45038104
comp.graphics,3.2774634,-0.30076528,-0.021453504
talk.politics.mideast,-8.820886,4.3613067,-3.803228
rec.autos,-4.912404,-4.8741155,7.9317694
comp.graphics,9.511888,5.9104447,-7.6514945
talk.politics.mideast,-8.725344,-0.3291038,-5.878279
rec.sport.baseball,3.2753673,-4.7902093,-9.169369
rec.sport.baseball,8.793956,-3.2027535,2.0986924
comp.graphics,9.716686,4.706318,-5.2318244
sci.med,1.1667236,13.538777,2.221869
rec.sport.baseball,-3.5932274,-8.988428,2.9197233
sci.med,-2.1839755,6.9015937,-0.4548215
sci.med,-0.68366885,7.3548636,-6.145414
rec.sport.baseball,3.577516,-8.2588,0.24946609
comp.graphics,6.428402,5.4070826,0.74155277
sci.med,-2.2056112,5.125771,-0.85746115
comp.graphics,10.611982,3.8775609,-1.4700327
rec.autos,-0.81114674,-2.501926,7.523114
talk.politics.mideast,-2.675192,-3.199392,-5.552504
rec.autos,0.8622716,0.8073706,5.13182
sci.med,-4.2514095,8.921774,-9.246182
rec.autos,0.540927,-4.9947677,3.749957
sci.med,-3.363785,6.098536,-6.03302
talk.politics.mideast,-3.177872,-0.52062666,-6.4794416
comp.graphics,4.682619,6.5877457,-9.51027
talk.politics.mideast,-0.36990765,-0.8522951,-4.7120833
talk.politics.mideast,-0.02137461,-0.60114384,-2.5055113
rec.sport.baseball,7.58613,-4.7058682,-0.24532162
talk.politics.mideast,-4.026569,-1.6445082,-8.140586
sci.med,-1.8865006,6.2004166,1.2181576
rec.sport.baseball,-0.35183108,-2.1136117,-5.0683804
rec.sport.baseball,0.7712046,-1.1539745,-3.6457858
sci.med,-1.9480299,7.461592,-0.7172403
sci.med,1.6217855,12.415146,3.5429082
rec.sport.baseball,-3.2660012,-10.656057,-3.268689
rec.sport.baseball,-3.9302423,-13.04096,-1.2416143
rec.autos,-1.6654669,1.2466657,8.482855
rec.sport.baseball,-1.8783213,-9.362943,-0.14777046
rec.sport.baseball,8.936453,-3.1808338,-3.0115128
talk.politics.mideast,-10.343458,-0.43550658,-1.0851179
sci.med,-3.9127054,11.367532,-1.4811985
rec.autos,0.15421805,-4.830284,5.944316
comp.graphics,6.764273,4.365676,-2.3568883
rec.sport.baseball,-2.410635,-0.6263583,-1.4240136
comp.graphics,9.356122,3.0922759,-1.9274685
talk.politics.mideast,-13.200509,5.2674932,-7.040068
rec.sport.baseball,7.0411835,-4.4922147,-3.1705503
talk.politics.mideast,-8.831578,4.3756022,-3.7345302
talk.politics.mideast,-8.469381,-0.97434944,-3.0775251
rec.sport.baseball,3.5309048,-6.598578,-2.9683864
