,x,y,z
rec.autos,0.09918919,-10.460497,19.572174
comp.graphics,18.04062,13.756889,4.6828194
sci.med,4.949317,0.64214236,6.983039
comp.graphics,21.271088,3.5649462,4.7607403
rec.autos,-11.526967,-8.483485,13.002853
comp.graphics,7.5537553,-1.0191581,15.994883
rec.sport.baseball,-6.0689926,6.2538123,6.958803
rec.autos,-20.984522,-11.834022,-0.31917515
sci.med,-0.9430065,-2.4973063,-10.18609
talk.politics.mideast,5.535738,13.936705,-5.097366
rec.sport.baseball,-9.583419,1.5035553,-5.2555423
rec.sport.baseball,-16.52636,6.8301554,-7.1772504
rec.sport.baseball,3.6986418,-2.1795902,-4.363176
sci.med,-11.1784115,0.12262194,23.927748
talk.politics.mideast,-2.655794,12.150546,-14.124288
rec.autos,-17.016464,-10.919848,10.316643
rec.autos,-3.6001687,11.508826,25.324717
talk.politics.mideast,-7.0970416,12.609243,-12.298647
rec.autos,12.452739,17.375147,-14.17968
rec.autos,29.497484,-1.5127139,-4.477801
rec.autos,-15.33373,-16.365574,10.345528
comp.graphics,12.163671,-16.799017,10.755151
rec.autos,-18.097212,-0.21194303,15.451944
comp.graphics,26.721937,4.706653,10.894827
talk.politics.mideast,-0.14576513,15.310479,-14.041313
comp.graphics,15.280242,-4.2459197,14.1579
talk.politics.mideast,14.481252,8.731784,-8.34107
comp.graphics,1.5262083,11.392745,17.860197
rec.sport.baseball,0.65230006,20.770403,2.650694
sci.med,-4.959963,0.19907297,-25.168125
comp.graphics,26.689665,1.9913001,3.455551
rec.sport.baseball,-8.19331,8.2435665,-8.754209
sci.med,1.8114018,-2.0087597,0.06393575
talk.politics.mideast,-15.408733,12.389228,-16.71461
rec.sport.baseball,-13.973365,-2.579934,-11.595504
comp.graphics,6.671265,5.4290147,15.68606
sci.med,12.351472,-19.111097,2.6493843
rec.sport.baseball,-27.08044,1.8169136,4.4949307
sci.med,9.051108,-0.076331966,-11.139896
comp.graphics,13.267362,2.8664281,14.874863
talk.politics.mideast,-5.170462,28.57551,1.5427788
rec.autos,-12.031126,-20.481789,5.050044
comp.graphics,-13.401887,-16.69329,-21.934666
talk.politics.mideast,-21.247515,-7.787835,-19.538452
rec.sport.baseball,18.600092,1.4894547,-24.412601
rec.sport.baseball,20.150427,-4.856091,2.2116196
comp.graphics,-6.8968935,-6.479715,26.161703
sci.med,4.227568,-13.391252,-16.512112
rec.sport.baseball,-2.9291704,21.78867,3.6814322
sci.med,3.7467623,-14.755179,-6.13099
sci.med,17.604721,-19.433773,-3.0148535
rec.sport.baseball,3.8562279,29.50003,1.0065933
comp.graphics,15.212781,-8.202097,6.200741
sci.med,3.9157114,0.9129251,-5.2463365
comp.graphics,-27.677616,-6.198355,8.195333
rec.autos,-18.576523,-15.905314,10.523361
talk.politics.mideast,-9.1980505,-4.155642,-8.991273
rec.autos,-12.037094,-10.308365,-25.618532
sci.med,-15.229681,-20.99965,-16.41423
rec.autos,-11.427248,-1.3655661,9.158282
sci.med,0.21804854,3.766214,-7.196557
talk.politics.mideast,-21.09581,6.9774613,17.374989
comp.graphics,8.662899,19.458687,-19.21194
talk.politics.mideast,2.3408988,2.7536662,0.49850494
talk.politics.mideast,-3.293529,-2.0477839,-1.760592
rec.sport.baseball,2.8040643,-5.4840918,26.446957
talk.politics.mideast,-2.7135313,12.876418,-8.361481
sci.med,13.735883,4.8360014,-2.9352405
rec.sport.baseball,-16.450449,6.3887534,13.042978
rec.sport.baseball,-0.55934477,4.1447597,3.2506351
sci.med,15.706642,-1.0565065,-6.4575467
sci.med,-1.3427154,-13.400931,-13.200677
rec.sport.baseball,-14.159046,4.399057,0.06626822
rec.sport.baseball,-25.958921,7.566367,-1.5829691
rec.autos,2.8707938,-23.972317,9.646533
rec.sport.baseball,-6.414081,0.35471946,1.3107576
rec.sport.baseball,5.6086884,-7.079626,14.013014
talk.politics.mideast,1.8685282,15.480357,-9.498908
sci.med,12.259588,-8.080489,-10.59239
rec.autos,19.821627,18.79892,2.2463202
comp.graphics,16.339014,-1.096434,11.806556
rec.sport.baseball,-0.26980048,-16.602034,-27.476194
comp.graphics,16.142797,-1.3696424,9.729367
talk.politics.mideast,-14.004198,25.129303,-3.5897133
rec.sport.baseball,-3.5849316,2.0107448,17.335724
talk.politics.mideast,-4.6568136,28.696625,1.4470087
talk.politics.mideast,2.1967218,19.63373,-1.2547919
rec.sport.baseball,3.0686924,13.345402,0.82197225
sci.med,22.25055,-10.17709,3.4348254
comp.graphics,-25.776543,-8.944108,8.7642
sci.med,4.2828913,-0.6338806,-12.770386
sci.med,-7.8552117,-7.357376,-21.337574
talk.politics.mideast,5.7012486,9.93244,-5.842428
rec.sport.baseball,-0.1060111,23.126795,18.513578
rec.sport.baseball,2.371299,-1.6629164,12.390421
rec.sport.baseball,-13.827095,1.4002622,-8.805833
comp.graphics,12.380424,9.232495,19.115368
sci.med,18.237099,-8.005957,-0.61318743
rec.sport.baseball,-11.720956,0.7313208,3.4131432
talk.politics.mideast,1.1240797,10.243662,-7.548988
sci.med,-0.9407481,-2.4964175,-10.18564
rec.sport.baseball,-1.0276352,1.7968758,29.611986
comp.graphics,-1.0520111,13.007815,-24.204784
talk.politics.mideast,-5.234235,17.030676,-19.41074
comp.graphics,10.69452,4.846467,10.511223
sci.med,-14.180227,-9.198112,-19.194761
talk.politics.mideast,23.786924,-16.568678,0.9005873
sci.med,4.2277093,-7.8657556,-5.310401
rec.autos,-10.369687,0.007127273,25.793167
comp.graphics,19.693115,0.09470831,16.938667
rec.autos,-7.7110085,26.501919,6.7011275
sci.med,14.0234785,0.8405704,-12.249591
sci.med,5.3708673,12.922792,8.680651
rec.autos,17.200914,-4.5842433,-22.405
rec.sport.baseball,-9.203842,-4.163103,-8.985265
talk.politics.mideast,-21.60622,-8.015021,-19.344633
sci.med,-6.9302583,-12.382083,-11.156202
rec.autos,1.8053552,6.81677,4.376291
rec.autos,-0.55290776,-6.6461587,5.075772
comp.graphics,6.99364,-7.029163,-18.683979
talk.politics.mideast,11.809891,13.184308,-7.1963305
talk.politics.mideast,8.443255,23.31987,2.6631868
rec.sport.baseball,-22.3496,-3.471027,-5.9912367
sci.med,3.4943755,-18.77813,-11.229699
rec.sport.baseball,3.483551,-13.632361,25.21565
rec.autos,-0.8678878,7.8687987,2.3098245
sci.med,3.6688418,-5.7636905,24.985983
talk.politics.mideast,-7.2581077,5.6888056,-16.441267
sci.med,0.18480116,3.799307,-7.353941
comp.graphics,17.013618,2.7351553,5.5230503
talk.politics.mideast,-14.380773,22.487333,6.679927
talk.politics.mideast,-24.776455,10.376566,-10.640078
rec.sport.baseball,-27.21174,1.4598294,4.092975
comp.graphics,11.755712,-18.039156,17.652279
sci.med,6.701138,-26.671515,-12.917951
rec.autos,-9.13369,-14.0599575,14.295589
comp.graphics,-2.0161362,2.5604832,8.755643
rec.autos,13.234106,22.12554,11.053912
talk.politics.mideast,14.477577,8.725223,-8.326532
rec.sport.baseball,-18.771118,-5.8810744,-9.583535
rec.sport.baseball,-13.569003,10.7891865,-4.63778
rec.sport.baseball,7.110511,-0.6789612,5.28327
rec.autos,-18.228674,-0.16398033,15.563365
comp.graphics,12.941193,-12.551968,10.3687725
talk.politics.mideast,4.4488883,19.614853,-5.211723
talk.politics.mideast,2.1419754,15.031237,-10.073881
rec.autos,-3.1659615,1.8039857,14.386481
comp.graphics,12.45378,11.628503,11.667673
comp.graphics,22.673592,-17.143696,7.28872
talk.politics.mideast,1.0528256,-5.9316325,-23.930809
comp.graphics,-7.09923,-6.8778234,26.577787
rec.sport.baseball,-23.815006,6.714527,-6.3833838
rec.autos,-1.2932589,3.2915208,15.473694
rec.autos,-5.9253097,-0.95262194,11.778425
rec.autos,-13.456108,-6.9139447,7.316377
rec.autos,29.41922,-0.6659504,-5.423496
sci.med,-4.1513343,-8.884272,-12.8904915
rec.autos,-11.394436,-19.682564,-10.771821
sci.med,-2.3519065,12.648928,13.220319
rec.autos,12.713651,2.212395,-20.601173
rec.sport.baseball,7.4630117,11.690927,4.2326407
sci.med,0.498924,3.1130092,2.3936038
rec.autos,3.6075711,4.5467677,12.411787
sci.med,-5.485683,9.498436,20.176645
comp.graphics,6.7105374,-7.4475927,-19.218224
comp.graphics,-1.5286274,17.509598,21.827868
talk.politics.mideast,5.5397806,25.357466,-9.194822
sci.med,5.2353263,20.23217,21.08141
rec.sport.baseball,10.655604,-8.992034,-24.655611
comp.graphics,15.733463,-4.7470427,11.992881
talk.politics.mideast,-6.174527,15.501957,-18.258883
rec.autos,-5.787215,-14.937955,14.490067
comp.graphics,16.094471,-7.820858,15.246478
comp.graphics,22.574026,-1.547777,6.557305
sci.med,-6.009817,6.5523987,-25.240242
rec.sport.baseball,-23.477198,-0.33927122,3.7353282
rec.sport.baseball,5.81493,2.9111416,-21.480026
rec.sport.baseball,6.990328,26.40473,10.4118595
rec.sport.baseball,-22.517698,1.8562332,-3.4017286
rec.sport.baseball,-9.9171,-14.326787,-17.480505
talk.politics.mideast,0.016564988,19.376389,-4.0997906
rec.autos,-7.1143823,-0.2508507,5.0479236
rec.autos,-12.037094,-10.308368,-25.618534
talk.politics.mideast,-0.012899196,1.6298854,0.6600551
talk.politics.mideast,13.704579,11.235999,-16.255747
comp.graphics,16.094372,-7.8206315,15.246621
rec.autos,20.481195,18.822023,2.3881276
comp.graphics,15.836894,-13.3636465,10.591508
sci.med,1.3957541,-20.300917,-4.7524467
